Ticket_ID,inferred_severity,severity_delta,mismatch_label,mismatch_type,score_rule,score_embedding,score_resolution_time,fused_score
TKT-100102,High,2,1,Hidden Crisis,1.6,1.0733339,2.4078,1.5772268533706666
TKT-100103,Medium,-1,0,None,1.3,1.4184979,1.4295,1.3673742473125459
TKT-100104,High,1,0,None,2.0,1.29454,1.6527,1.6836290061473846
TKT-100105,Medium,1,0,None,1.0,0.038576685,1.9116,0.8458218384534121
TKT-100106,Critical,0,0,None,3.0,2.996188,2.28585,2.8558357834815977
TKT-100107,Low,-1,0,None,0.3,0.19682762,1.36425,0.4767396613955498
TKT-100108,High,1,0,None,2.0,1.9488056,1.569,1.8958819508552551
TKT-100109,Medium,0,0,None,0.2,0.6429595,1.7382,0.6626758076250553
TKT-100110,High,0,0,None,2.0,1.8930382,1.0503,1.7726233541965484
TKT-100111,High,2,1,Hidden Crisis,2.0,1.8930382,0.38925,1.6404133558273315
TKT-100112,Medium,0,0,None,0.3,0.19682762,2.916,0.7870896503329277
TKT-100113,Medium,0,0,None,0.4,2.0941286,1.5297,1.2188850238919258
TKT-100114,Medium,0,0,None,0.3,0.09956941,2.616,0.6930492863059045
TKT-100115,Low,-1,0,None,0.2,0.4857986,0.0,0.2600295104086399
TKT-100116,High,0,0,None,2.0,1.9488056,1.2999,1.8420619606971742
TKT-100117,Medium,0,0,None,0.4,2.0941286,0.7893,1.0708050206303596
TKT-100118,High,1,0,None,2.1,1.9981121,2.28585,2.1015091955661775
TKT-100119,Low,0,0,None,0.2,0.04953258,1.21245,0.3498264102265239
TKT-100120,Medium,0,0,None,0.3,0.19682762,2.0634,0.6165696784853936
TKT-100121,Low,-1,0,None,0.2,0.57010436,0.5826,0.4060565270483494
TKT-100122,Medium,-1,0,None,1.0,1.0042081,2.2284,1.2471528291702272
TKT-100123,High,2,1,Hidden Crisis,1.6,1.0733339,2.916,1.6788668394088746
TKT-100124,High,0,0,None,2.0,1.9488056,1.00575,1.7832319378852846
TKT-100125,Medium,0,0,None,0.3,0.038576685,2.83995,0.7164918620139361
TKT-100126,Medium,-1,0,None,1.2,1.0600208,0.63615,1.038237303495407
TKT-100127,High,1,0,None,2.0,1.2823856,0.86415,1.5216649532318114
TKT-100128,Medium,0,0,None,1.1,1.0012358,0.51285,0.9480025529861451
TKT-100129,High,1,0,None,2.0,1.998326,0.6504,1.7294940769672393
TKT-100130,Medium,1,0,None,1.3,1.4184979,1.21245,1.3239642560482026
TKT-100131,Low,-1,0,None,0.3,0.19682762,1.0503,0.41394967287778855
TKT-100132,High,0,0,None,2.1,1.9981121,2.0634,2.0570191919803618
TKT-100133,High,-1,0,None,2.0,1.998326,2.2284,2.0450940787792207
TKT-100134,Medium,0,0,None,1.6,1.0733339,0.54585,1.2048368573188784
TKT-100135,Critical,1,0,None,2.9,2.26745,2.17515,2.53363755941391
TKT-100136,High,-1,0,None,2.8,2.159486,2.3439,2.48460009098053
TKT-100137,Low,-1,0,None,0.3,0.036962382,0.51285,0.25050683654844763
TKT-100138,Low,0,0,None,0.2,0.4857986,1.07535,0.4750995196402073
TKT-100139,Low,-2,1,False Alarm,0.2,0.04953258,1.1541,0.3381563929840923
TKT-100140,Low,0,0,None,0.1,0.81794167,0.8283,0.49693958349525924
TKT-100141,Medium,0,0,None,2.0,1.29454,0.3798,1.429049015045166
TKT-100142,Medium,0,0,None,0.3,0.19682762,1.86615,0.5771196767687798
TKT-100143,Low,0,0,None,0.2,0.57010436,0.6804,0.42561653032898905
TKT-100144,Medium,0,0,None,1.1,0.63175684,1.96125,1.1083648949861526
TKT-100145,Medium,0,0,None,0.2,0.4857986,2.5431,0.7686495341360569
TKT-100146,Medium,1,0,None,1.3,1.4184979,0.7893,1.2393342554569244
TKT-100147,High,0,0,None,2.0,1.8930382,0.55875,1.674313348531723
TKT-100148,High,1,0,None,2.0,1.29454,1.82055,1.717199009656906
TKT-100149,Medium,0,0,None,0.2,0.57010436,2.01165,0.6918665446341038
TKT-100150,Medium,1,0,None,0.05,0.15748627,2.916,0.6608201744034886
TKT-100151,Critical,0,0,None,3.0,2.9681032,1.7382,2.73647609949112
TKT-100152,High,0,0,None,2.0,1.8930382,2.68545,2.099653369188309
TKT-100153,Medium,0,0,None,1.2,1.0600208,0.0,0.9110073029994965
TKT-100154,Medium,0,0,None,1.0,1.0042081,1.96125,1.1937228202819825
TKT-100155,Medium,0,0,None,0.1,0.81794167,1.4295,0.6171795804053545
TKT-100156,Low,-1,0,None,0.3,0.036962382,1.49535,0.44700683988630774
TKT-100157,Low,-1,0,None,0.15,0.12187548,1.86615,0.4833864249289036
TKT-100158,Medium,1,0,None,1.2,1.0600208,1.07535,1.1260773122310639
TKT-100159,High,2,1,Hidden Crisis,1.6,1.0733339,2.0634,1.5083468675613405
TKT-100160,Medium,1,0,None,1.1,1.0012358,1.4595,1.137332546710968
TKT-100161,High,2,1,Hidden Crisis,1.3,1.4184979,2.17515,1.5165042340755464
TKT-100162,High,0,0,None,2.0,1.9488056,2.4078,2.063641941547394
TKT-100163,High,0,0,None,2.0,1.29454,0.8826,1.5296090185642242
TKT-100164,Medium,1,0,None,0.3,1.3503485,1.1277,0.8331619650125504
TKT-100165,Medium,1,0,None,1.0,1.0042081,1.4295,1.0873728275299073
TKT-100166,Low,-1,0,None,0.3,0.09956941,0.8283,0.33550929874181745
TKT-100167,Medium,1,0,None,1.1,0.63175684,2.4078,1.197674897313118
TKT-100168,Medium,0,0,None,1.1,0.64617956,2.83995,1.2891528725624086
TKT-100169,High,1,0,None,2.1,1.9981121,0.72795,1.7899291813373566
TKT-100170,Medium,1,0,None,1.6,1.0733339,0.3702,1.169706863164902
TKT-100171,Medium,0,0,None,1.6,1.0733339,0.39675,1.1750168621540071
TKT-100172,High,1,0,None,2.0,1.2823856,2.3439,1.817614948749542
TKT-100173,Medium,1,0,None,1.1,0.63175684,1.07535,0.9311849147081375
TKT-100174,Medium,1,0,None,1.3,1.4184979,1.1277,1.3070142447948456
TKT-100175,High,1,0,None,2.0,1.9488056,2.4078,2.063641941547394
TKT-100176,High,1,0,None,2.0,1.998326,2.3439,2.0681940734386446
TKT-100177,High,1,0,None,2.0,1.29454,0.86415,1.5259190142154693
TKT-100178,Critical,0,0,None,3.0,2.996188,2.2284,2.844345772266388
TKT-100179,Low,-1,0,None,0.2,0.4857986,1.09965,0.4799595154821873
TKT-100180,Medium,-1,0,None,0.3,0.09956941,2.4705,0.6639492973685265
TKT-100181,Medium,1,0,None,0.2,0.57010436,1.3311,0.5557565249502658
TKT-100182,Medium,0,0,None,2.0,1.29454,0.4512,1.4433290183544158
TKT-100183,Medium,0,0,None,1.2,1.0980611,1.7382,1.2719613909721375
TKT-100184,Medium,1,0,None,1.0,1.0042081,0.27015,0.8555028319358826
TKT-100185,High,1,0,None,2.0,1.29454,1.82055,1.717199009656906
TKT-100186,Low,0,0,None,0.2,0.6429595,0.63615,0.44226581826806066
TKT-100187,Low,0,0,None,0.15,0.12187548,1.9116,0.4924764193594456
TKT-100188,High,-1,0,None,2.0,1.9488056,2.916,2.165281927585602
TKT-100189,High,2,1,Hidden Crisis,2.0,1.2823856,1.36425,1.621684944629669
TKT-100190,High,0,0,None,2.0,1.29454,0.86415,1.5259190142154693
TKT-100191,High,0,0,None,2.1,1.9981121,2.0634,2.0570191919803618
TKT-100192,Medium,-1,0,None,0.3,0.09956941,2.76105,0.7220592960715294
TKT-100193,High,1,0,None,2.0,1.8930382,1.4295,1.848463350534439
TKT-100194,High,2,1,Hidden Crisis,2.0,1.998326,1.21245,1.8419040858745575
TKT-100195,Medium,-1,0,None,0.3,0.09956941,2.4705,0.6639492973685265
TKT-100196,Low,-1,0,None,0.05,0.15748627,1.4595,0.3695201875641942
TKT-100197,Medium,1,0,None,1.2,1.0980611,1.96125,1.3165713906288148
TKT-100198,High,-1,0,None,2.1,1.9981121,1.27095,1.8985291779041291
TKT-100199,Medium,0,0,None,0.3,1.3503485,2.5431,1.1162419945001603
TKT-100200,Low,0,0,None,0.3,0.038576685,1.36425,0.4213518340140581
TKT-100201,High,0,0,None,1.6,1.0733339,2.76105,1.6478768587112427
TKT-100202,High,2,1,Hidden Crisis,1.3,1.4184979,2.68545,1.6185642659664157
TKT-100203,High,0,0,None,2.0,1.9488056,1.96125,1.9743319392204286
TKT-100204,Medium,0,0,None,0.2,0.6429595,1.7784,0.6707158066332339
TKT-100205,High,0,0,None,2.0,1.998326,2.0634,2.012094086408615
TKT-100206,High,1,0,None,2.0,1.9488056,1.86615,1.9553119540214539
TKT-100207,High,1,0,None,2.0,1.998326,0.98505,1.7964240849018096
TKT-100208,High,2,1,Hidden Crisis,2.0,1.8930382,0.8283,1.7282233536243439
TKT-100209,Low,-1,0,None,0.2,0.6429595,0.6225,0.4395358182489872
TKT-100210,Medium,1,0,None,0.2,0.57010436,1.36425,0.562386516481638
TKT-100211,High,-1,0,None,2.0,1.8930382,1.69665,1.9018933594226837
TKT-100212,Medium,0,0,None,0.3,0.09956941,2.4078,0.6514092907309532
TKT-100213,Medium,0,0,None,0.3,1.3503485,0.55875,0.7193719655275346
TKT-100214,Medium,1,0,None,0.2,0.57010436,1.86615,0.6627665318548679
TKT-100215,Low,0,0,None,0.05,0.15748627,1.69665,0.41695020217448475
TKT-100216,High,0,0,None,2.0,1.998326,0.8283,1.7650740802288056
TKT-100217,Low,-3,1,False Alarm,0.3,0.09956941,1.07535,0.38491930812597275
TKT-100218,Low,0,0,None,0.15,0.12187548,0.9636,0.30287641659379005
TKT-100219,Medium,-1,0,None,0.3,0.19682762,2.3439,0.6726696655154228
TKT-100220,Medium,0,0,None,1.2,1.0980611,1.1541,1.1551413893699647
TKT-100221,High,0,0,None,2.1,1.9981121,2.76105,2.1965491831302644
TKT-100222,Low,-2,1,False Alarm,0.3,0.09956941,1.21245,0.41233930438756944
TKT-100223,High,-1,0,None,2.0,1.9488056,2.68545,2.119171965122223
TKT-100224,Medium,0,0,None,1.1,0.63175684,0.8283,0.8817749053239822
TKT-100225,High,0,0,None,2.0,1.998326,1.7382,1.9470540702342987
TKT-100226,Medium,0,0,None,0.05,0.15748627,2.83995,0.6456102134659887
TKT-100227,Medium,1,0,None,1.2,1.0980611,0.6225,1.0488214015960693
TKT-100228,Low,-1,0,None,0.3,0.09956941,1.4595,0.4617492899298668
TKT-100229,Low,-1,0,None,0.05,0.15748627,0.55875,0.18937019128352403
TKT-100230,Low,-1,0,None,0.05,0.15748627,0.8826,0.2541401984170079
TKT-100231,High,2,1,Hidden Crisis,2.0,1.29454,2.0634,1.7657690227031708
TKT-100232,Medium,0,0,None,1.0,1.0042081,0.0,0.8014728307724
TKT-100233,Low,-1,0,None,0.3,0.036962382,1.4295,0.4338368359953165
TKT-100234,High,1,0,None,1.6,1.0733339,2.0634,1.5083468675613405
TKT-100235,Medium,1,0,None,0.3,0.09956941,1.6527,0.500389288365841
TKT-100236,Medium,0,0,None,1.2,1.0980611,0.336,0.9915214002132416
TKT-100237,Medium,0,0,None,0.3,0.036962382,2.68545,0.6850268546491862
TKT-100238,Medium,0,0,None,1.2,1.0600208,2.4078,1.3925672948360444
TKT-100239,Medium,1,0,None,0.4,2.0941286,2.11995,1.3369350269436837
TKT-100240,High,1,0,None,2.0,1.998326,1.1277,1.8249540746212005
TKT-100241,Medium,1,0,None,0.05,0.15748627,2.68545,0.6147102119401098
TKT-100242,Low,0,0,None,0.05,0.15748627,1.569,0.39142019767314196
TKT-100243,High,1,0,None,2.0,1.29454,1.00575,1.5542390048503876
TKT-100244,High,2,1,Hidden Crisis,2.1,1.9981121,1.9116,2.02665918469429
TKT-100245,High,1,0,None,2.0,1.998326,0.98505,1.7964240849018096
TKT-100246,Low,-1,0,None,0.05,0.15748627,0.4512,0.16786019820719955
TKT-100247,Critical,0,0,None,3.0,2.996188,2.616,2.92186576128006
TKT-100248,Medium,1,0,None,0.2,0.4857986,2.5431,0.7686495341360569
TKT-100249,Low,-1,0,None,0.3,0.036996286,0.6804,0.28402870837599037
TKT-100250,Low,0,0,None,0.3,0.19682762,0.35385,0.2746596738696099
TKT-100251,High,1,0,None,1.3,1.4184979,2.916,1.6646742284297944
TKT-100252,High,-1,0,None,2.1,1.9981121,1.69665,1.9836691915988922
TKT-100253,Medium,0,0,None,1.1,1.0012358,0.0,0.8454325556755067
TKT-100254,Medium,0,0,None,0.4,2.0941286,1.5297,1.2188850238919258
TKT-100255,High,1,0,None,2.0,1.998326,2.5431,2.1080341041088104
TKT-100256,Medium,1,0,None,1.1,0.63175684,1.2999,0.9760949164628983
TKT-100257,Medium,1,0,None,0.3,1.3503485,1.7382,0.9552619606256485
TKT-100258,Low,-1,0,None,0.1,0.81794167,0.40455,0.4121895808726549
TKT-100259,High,0,0,None,2.1,1.9981121,2.01165,2.046669203042984
TKT-100260,Medium,-1,0,None,1.1,1.0012358,1.61205,1.1678425669670105
TKT-100261,Medium,0,0,None,1.2,1.0600208,1.5297,1.2169473111629487
TKT-100262,Medium,1,0,None,0.3,0.09956941,2.616,0.6930492863059045
TKT-100263,Medium,1,0,None,1.1,1.0012358,0.84825,1.0150825500488283
TKT-100264,Medium,1,0,None,0.3,1.3503485,1.49535,0.9066919714212418
TKT-100265,High,0,0,None,2.0,1.8930382,2.2284,2.008243352174759
TKT-100266,Medium,1,0,None,0.2,0.4857986,2.28585,0.717199520021677
TKT-100267,Medium,1,0,None,1.6,1.0733339,0.7407,1.2438068628311159
TKT-100268,Low,-1,0,None,0.15,0.16172615,1.00575,0.3252541422843933
TKT-100269,Critical,1,0,None,3.0,2.996188,2.5431,2.9072857975959776
TKT-100270,Medium,0,0,None,2.0,1.29454,0.50145,1.4533790171146392
TKT-100271,Medium,1,0,None,1.3,1.4184979,0.5826,1.1979942500591279
TKT-100272,High,0,0,None,2.0,1.8930382,1.82055,1.9266733467578887
TKT-100273,Low,0,0,None,0.15,0.12187548,0.84825,0.2798064149916172
TKT-100274,Low,-1,0,None,0.05,0.15748627,0.41205,0.16003019828349352
TKT-100275,Medium,0,0,None,1.1,0.63175684,0.0,0.7161149054765701
TKT-100276,Medium,1,0,None,0.1,0.81794167,2.0634,0.7439595896750688
TKT-100277,Medium,0,0,None,0.3,1.3503485,0.27015,0.6616519719362259
TKT-100278,Low,-1,0,None,0.2,0.04953258,1.61205,0.42974641602486374
TKT-100279,Medium,1,0,None,0.4,2.0941286,1.61205,1.2353550270199776
TKT-100280,High,-1,0,None,2.1,1.9981121,2.5431,2.1529592096805574
TKT-100281,Medium,1,0,None,1.1,1.0012358,2.3439,1.3142125487327576
TKT-100282,Medium,-1,0,None,0.2,0.04953258,2.76105,0.6595464019104839
TKT-100283,High,1,0,None,2.0,1.8930382,2.4705,2.0566633522510527
TKT-100284,High,1,0,None,2.1,1.9981121,2.28585,2.1015091955661775
TKT-100285,High,1,0,None,2.0,1.8930382,2.3439,2.031343346834183
TKT-100286,Medium,0,0,None,0.3,0.09956941,2.3439,0.6386292919516563
TKT-100287,Low,0,0,None,0.1,0.81794167,0.0,0.33127958364784715
TKT-100288,Medium,1,0,None,1.1,0.63175684,0.336,0.7833149045705795
TKT-100289,Medium,0,0,None,1.1,1.0012358,1.36425,1.1182825446128846
TKT-100290,Medium,1,0,None,0.2,0.57010436,1.9116,0.6718565262854099
TKT-100291,Low,0,0,None,0.3,0.038576685,1.09965,0.36843185015022756
TKT-100292,Medium,1,0,None,0.4,2.0941286,1.07535,1.1280150249600411
TKT-100293,High,1,0,None,2.0,1.8930382,2.01165,1.9648933708667755
TKT-100294,Low,0,0,None,0.3,0.038576685,1.69665,0.4878318507224322
TKT-100295,Critical,0,0,None,3.0,2.9681032,1.39755,2.6683461070060734
TKT-100296,High,-1,0,None,2.0,1.8930382,1.69665,1.9018933594226837
TKT-100297,Medium,1,0,None,0.2,0.6429595,2.4078,0.7965958096086978
TKT-100298,High,-1,0,None,2.0,1.2823856,2.83995,1.9168249726295472
TKT-100299,Low,0,0,None,0.2,0.57010436,0.7104,0.4316165246069431
TKT-100300,Medium,-1,0,None,0.3,0.038576685,2.76105,0.7007118422538042
TKT-100301,High,-1,0,None,2.1,1.9488056,2.17515,2.0621118903160096
TKT-100302,Medium,0,0,None,1.2,1.0980611,0.94365,1.1130514025688172
TKT-100303,Medium,1,0,None,0.2,0.6429595,2.76105,0.8672458149492741
TKT-100304,Medium,1,0,None,0.3,1.3503485,0.5958,0.7267819672822953
TKT-100305,Medium,-1,0,None,0.05,0.15748627,2.5431,0.5862402202561497
TKT-100306,Medium,1,0,None,1.0,1.0042081,2.2284,1.2471528291702272
TKT-100307,Medium,1,0,None,0.3,0.19682762,1.82055,0.5679996654391288
TKT-100308,High,1,0,None,2.0,1.8930382,0.2175,1.6060633540153502
TKT-100309,High,2,1,Hidden Crisis,2.0,1.9488056,0.51285,1.6846519470214845
TKT-100310,Medium,0,0,None,0.1,0.81794167,1.7784,0.6869595725089311
TKT-100311,Critical,0,0,None,3.0,2.996188,2.11995,2.8226557850837706
TKT-100312,Low,-1,0,None,0.15,0.12187548,0.22665,0.15548642054200174
TKT-100313,Low,-2,1,False Alarm,0.3,0.038576685,1.6527,0.4790418345481158
TKT-100314,Critical,0,0,None,3.0,2.996188,2.76105,2.9508757710456845
TKT-100315,Medium,1,0,None,0.3,0.038576685,2.17515,0.583531828597188
TKT-100316,Medium,1,0,None,0.3,0.19682762,2.28585,0.6610596820712089
TKT-100317,Low,-1,0,None,0.2,0.57010436,0.34485,0.358506528288126
TKT-100318,Medium,1,0,None,1.3,1.4184979,0.0,1.0814742505550385
TKT-100319,Medium,0,0,None,1.6,1.0733339,0.86415,1.268496859073639
TKT-100320,Medium,0,0,None,0.3,1.3503485,2.11995,1.0316119819879532
TKT-100321,Medium,1,0,None,1.1,1.0012358,1.27095,1.0996225476264954
TKT-100322,Critical,1,0,None,2.9,2.9681032,2.5431,2.8524561762809757
TKT-100323,Medium,1,0,None,0.3,1.3503485,2.83995,1.175611987709999
TKT-100324,Medium,-1,0,None,1.0,1.0042081,2.68545,1.3385628461837769
TKT-100325,Medium,0,0,None,1.0,1.0042081,1.82055,1.165582823753357
TKT-100326,Medium,0,0,None,0.4,2.0941286,1.6527,1.2434850051999091
TKT-100327,High,2,1,Hidden Crisis,2.0,1.998326,0.28815,1.6570440828800201
TKT-100328,High,0,0,None,2.9,2.26745,1.61205,2.421017587184906
TKT-100329,Medium,1,0,None,1.6,1.0733339,0.41205,1.1780768632888794
TKT-100330,Medium,1,0,None,1.6,1.0733339,0.7893,1.2535268664360046
TKT-100331,Medium,1,0,None,1.1,0.6263808,0.2043,0.7550932914018631
TKT-100332,Medium,1,0,None,0.2,0.57010436,1.9116,0.6718565262854099
TKT-100333,Medium,0,0,None,0.2,0.4857986,2.28585,0.717199520021677
TKT-100334,Low,-1,0,None,0.2,0.4857986,0.98505,0.4570395149290562
TKT-100335,High,0,0,None,2.0,1.29454,0.98505,1.5500990211963654
TKT-100336,Medium,0,0,None,1.3,1.4184979,0.80865,1.243204253911972
TKT-100337,High,2,1,Hidden Crisis,2.0,1.998326,1.07535,1.8144840896129608
TKT-100338,High,2,1,Hidden Crisis,2.1,1.9981121,2.916,2.2275391638278963
TKT-100339,High,1,0,None,2.1,1.9488056,2.616,2.150281894207001
TKT-100340,Low,0,0,None,0.2,0.6429595,0.72795,0.4606258131563663
TKT-100341,Medium,-1,0,None,0.3,0.09956941,1.7784,0.5255292877554893
